Age,Female,Male
0,0.055164237,0.059001691
1,0.060647135,0.064951631
2,0.066547354,0.071357156
3,0.072882439,0.0782368
4,0.079669209,0.085608139
5,0.086923583,0.093487587
6,0.094660415,0.1018902
7,0.102893312,0.11082947
8,0.111634459,0.120317123
9,0.120894449,0.130362927
10,0.13068211,0.140974497
11,0.141004341,0.15215712
12,0.151865959,0.163913589
13,0.163269554,0.176244045
14,0.175215357,0.189145852
15,0.187701123,0.202613476
16,0.200722033,0.216638402
17,0.214270613,0.231209063
18,0.228336675,0.246310804
19,0.242907278,0.261925873
20,0.25796672,0.278033438
21,0.273496542,0.294609637
22,0.289475572,0.311627662
23,0.305879982,0.329057864
24,0.32268338,0.3468679
25,0.339856923,0.365022902
26,0.357369458,0.383485672
27,0.375187682,0.402216914
28,0.393276329,0.421175474
29,0.411598379,0.440318617
30,0.430115281,0.45960231
31,0.448787199,0.478981531
32,0.467573262,0.498410579
33,0.486431839,0.517843397
34,0.505320815,0.537233905
35,0.524197865,0.556536322
36,0.54302075,0.575705491
37,0.561747591,0.594697197
38,0.580337154,0.613468472
39,0.598749117,0.631977886
40,0.616944337,0.65018582
41,0.634885097,0.668054719
42,0.652535339,0.685549317
43,0.669860878,0.702636846
44,0.686829602,0.719287208
45,0.703411638,0.735473121
46,0.719579511,0.751170234
47,0.735308259,0.766357217
48,0.750575542,0.781015811
49,0.765361709,0.795130854
50,0.779649853,0.808690278
51,0.793425825,0.82168507
52,0.806678241,0.834109216
53,0.819398445,0.845959612
54,0.831580469,0.857235955
55,0.843220955,0.867940613
56,0.854319066,0.878078475
57,0.864876376,0.887656791
58,0.874896748,0.896684986
59,0.88438619,0.905174481
60,0.893352707,0.913138493
61,0.901806142,0.920591834
62,0.909758006,0.927550712
63,0.917221306,0.934032526
64,0.924210374,0.940055666
65,0.930740684,0.94563932
66,0.936828686,0.950803283
67,0.942491625,0.955567778
68,0.947747384,0.959953283
69,0.952614315,0.963980376
70,0.957111091,0.96766958
71,0.96125656,0.971041232
72,0.965069609,0.97411536
73,0.968569038,0.976911574
74,0.971773452,0.979448967
75,0.974701148,0.981746037
76,0.977370034,0.983820616
77,0.979797538,0.985689812
78,0.982000548,0.987369963
79,0.983995348,0.98887661
80,0.98579757,0.990224466
81,0.987422159,0.991427408
82,0.988883344,0.992498471
83,0.990194617,0.993449851
84,0.991368723,0.994292919
85,0.992417656,0.995038235
86,0.993352663,0.99569557
87,0.99418425,0.996273936
88,0.9949222,0.996781613
89,0.99557559,0.997226184
90,0.996152815,0.997614571
91,0.99666161,0.997953069
92,0.997109084,0.998247388
93,0.997501745,0.998502686
94,0.997845537,0.998723613
95,0.998145867,0.998914341
96,0.998407643,0.99907861
97,0.998635302,0.999219753
98,0.998832847,0.99934074
99,0.999003879,0.999444202
100,0.999151623,0.999532468
